552#90132241 ==> 1,0,0.125,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.5,0,0.333,0.969,0.562,0.4,0.632,match
552#207910213 ==> 1,0,0.111,?,?,?,?,?,?,?,?,0.267,0,0.071,0.335,0.077,1,0.258,0.447,0,0.286,0.669,0.523,0.4,0.548,mismatch
580#202812620 ==> 1,0,0.222,0,0,0,0.905,0.924,0.857,0.667,0.771,0.204,0,0.061,0.4,0.043,0.316,0.265,0.889,0,0.8,1,0.862,0.904,0.783,match
4696#90049928 ==> 1,0,0.25,?,?,?,?,?,?,?,?,0.209,0,0.116,0.77,0.203,0.061,0.24,0.612,0,0.429,0.812,0.533,0.573,0.632,match
5644#203022472 ==> 1,0,0.111,?,?,?,?,?,?,?,?,0.147,0,0.069,0.525,0.172,0.24,0.408,0.617,0,0.444,0.929,0.479,0.531,0.429,mismatch
5644#203023505 ==> 1,0,0,?,?,?,?,?,?,?,?,0.07,0,0.032,0.559,0.149,0.152,0.387,0.617,0,0.444,0.929,0.658,0.637,0.668,match
5644#203024998 ==> 1,0,0.111,?,?,?,?,?,?,?,?,0.06,0,0.029,0.491,0.18,0.138,0.327,0.463,0,0.3,0.929,0.532,0.512,0.524,mismatch
5644#203025617 ==> 1,0,0.222,?,?,?,?,?,?,?,?,0.12,0,0.061,0.589,0.204,0.127,0.382,0.463,0,0.3,0.893,0.425,0.45,0.401,mismatch
6284#202812567 ==> 1,0,0.222,1,1,1,1,1,1,1,1,0.327,0,0.136,0.53,0.27,0.735,0.378,0.183,0,0.083,0.52,0.32,0.538,0.38,match
6493#203017999 ==> 1,0,0.111,?,?,?,?,?,?,?,?,0.209,0,0.043,0.065,0,1,0.2,0.845,0,0.714,1,0.769,0.834,0.926,match
6726#203111433 ==> 1,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,1,1,1,1,1,1,match
6742#202845629 ==> 1,0,0.222,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.507,0,0.333,0.733,0.688,0.662,0.756,match
7195#90105458 ==> 1,0,0.25,?,?,?,?,?,?,?,?,0.365,0,0.133,0.383,0.055,0.833,0.229,0.5,0,0.333,0.963,0.562,0.649,0.589,match
7783#90138537 ==> 1,0,0.25,?,?,?,?,?,?,?,?,0.082,0,0.037,0.557,0.067,0.177,0.154,0.408,0,0.25,0.769,0.545,0.494,0.401,mismatch
