1242642#S0026553 ==> 0,0.225,0,0.5,0.921,0.5,0.902,0.938,0.707,?,0,0,0.2,0.416,0.526,0.57,?,0,0.225,0,0.5,0.92,0.5,0.895,0.933,0.707,?,0,0.225,0,0.5,0.919,0.5,0.887,0.929,0.707,?,0,0.225,0,0.5,0.836,0.5,0.885,0.923,0.707,?,?,?,?,?,?,?,?,?,?,1,1,1,1,1,1,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0.225,0,0.5,0.812,0.5,0.875,0.917,0.707,?,0.308,0,0.148,0.887,0.416,0.351,match
27675517#S0077167 ==> ?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0.25,0.847,0.312,0.419,match
931958#S0113404 ==> 0,0.225,0,0.5,0.921,0.5,0.902,0.938,0.707,?,0,0,0,0.2,0.081,0,?,0,0.225,0,0.5,0.92,0.5,0.895,0.933,0.707,?,0,0.225,0,0.5,0.726,0.5,0.893,0.929,0.707,?,0,0.225,0,0.5,0.715,0.5,0.885,0.923,0.707,?,?,?,?,?,?,?,?,?,?,1,1,1,1,1,1,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.27,0,0.429,0.871,0.644,0.629,match
28687137#S0366962 ==> 0,0.225,0,0.5,0.848,0.5,0.906,0.938,0.707,?,0,0,0.125,0.564,0.829,0.526,?,0,0.225,0,0.5,0.819,0.5,0.9,0.933,0.707,?,0,0.225,0,0.5,0.787,0.5,0.893,0.929,0.707,?,0,0.368,0,0.333,0.743,0.333,0.84,0.846,0.577,?,?,?,?,?,?,?,?,?,?,1,1,1,1,1,1,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0.225,0,0.5,0.745,0.5,0.875,0.917,0.707,?,0.136,0,0.176,0.639,0.21,0.302,match
S0424798#1192160 ==> 0,0.225,0,0.5,0.921,0.5,0.938,0.938,0.707,?,0,0,0,0.242,0.074,0,?,0,0.225,0,0.5,0.92,0.5,0.933,0.933,0.707,?,0,0.225,0,0.5,0.818,0.5,1,0.929,0.707,?,0,0.225,0,0.5,0.918,0.5,0.923,0.923,0.707,?,?,?,?,?,?,?,?,?,?,0,0.225,0,1,0.984,0.941,1,0.906,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.2,0,0.357,0.616,0.359,0.527,match
24230268#S0451138 ==> ?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.258,0,0.429,0.956,0.242,0.666,match
S0470597#1953191 ==> 0,0.225,0,0.5,0.863,0.5,1,0.938,0.707,?,0,0,0,0.267,0.167,0,?,0,0.225,0,0.5,0.92,0.5,0.933,0.933,0.707,?,0,0.225,0,0.5,0.919,0.5,0.929,0.929,0.707,?,0,0.225,0,0.5,0.918,0.5,0.923,0.923,0.707,?,?,?,?,?,?,?,?,?,?,1,1,1,1,1,1,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0.225,0,0.5,0.775,0.5,1,0.917,0.707,?,0.365,0,0.7,0.861,0.297,0.825,match
3312217#S0472225 ==> 0,0.225,0,0.5,0.791,0.5,0.906,0.938,0.707,?,0,0,0,0.24,0.217,0,?,0,0.225,0,0.5,0.747,0.5,0.9,0.933,0.707,?,0,0.225,0,0.5,0.698,0.5,0.893,0.929,0.707,?,0,0.225,0,0.5,0.725,0.5,0.885,0.923,0.707,?,?,?,?,?,?,?,?,?,?,1,1,1,1,1,1,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0.225,0,0.5,0.676,0.5,0.875,0.917,0.707,?,0.492,0,0.636,1,0.867,0.892,match
S0596322#29945527 ==> 0,0.225,0,0.5,0.3,0.5,1,0.938,0.707,?,0,0,0,0.407,0.273,0.176,?,0,0.225,0,0.5,0.92,0.5,0.933,0.933,0.707,?,0,0.225,0,0.5,0.919,0.5,0.929,0.929,0.707,?,0,0.225,0,0.5,0.918,0.5,0.923,0.923,0.707,?,?,?,?,?,?,?,?,?,?,0,0.225,0,0.5,0.892,0.364,0.6,0.875,0.707,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0.2,0.566,0.075,0.354,match
S0724686#8111425 ==> 0,0.225,0,0.5,0.805,0.5,1,0.938,0.707,?,0,0,0.091,0.909,0.833,0.302,?,0,0.225,0,0.5,0.765,0.5,1,0.933,0.707,?,0,0.225,0,0.5,0.919,0.5,0.929,0.929,0.707,?,0,0.225,0,0.5,0.918,0.5,0.923,0.923,0.707,?,?,?,?,?,?,?,?,?,?,1,1,1,1,1,1,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0.225,0,0.5,0.917,0.5,0.917,0.917,0.707,?,0.516,0,0.455,0.577,0.53,0.645,match
