ID|#1242642|#S0026553|#
Source|#WALMART_DOTCOM|#CNET|#
Title|#Sony 32 MB Memory Stick|#Sony - Flash memory card - 32 MB - MS - for Sony DSR-PD100, PD150, ICD-MS515; Handycam CCD-TRV25; Mavica-MVC-CD1000, FD200, FD92, FD97|#
pd_title|#[Sony 32 MB Memory Stick]|#[Sony - Flash memory card - 32 MB - MS - for Sony DSR-PD100, PD150, ICD-MS515; Handycam CCD-TRV25; Mavica-MVC-CD1000, FD200, FD92, FD97]|#
req_brand_name|#null|#[Sony]|#
req_manufacturer|#[Sony]|#[Sony]|#
req_description|#[<UL><LI>32 MB storage capacity<LI>Ultra-small, thin design<LI>Erasure-prevention switch<LI>10-pin connector for high reliability</UL>, Smaller than you'd expect and bigger than you'd imagine, the Memory Stick will store digital information just like any other memory card. Use it with Sony and other compatible brands of digital cameras, camcorders and MP3 players.<p> <FONT COLOR="003399"> <b>This item is currently available online only.</b> </FONT> <p>]|#[Sony - flash memory card - 32 MB - MS]|#
req_category|#[Other Memory Cards, USB & Flash Drives, UNASSIGNED/UNASSIGNED SHELF, Electronics]|#[Flash memory card]|#
req_upc|#[00027242551923, 027242551923, 0002724255192]|#[0027242551923]|#
normalized_upc_1|#[00027242551923]|#[00027242551923]|#
normalized_upc_2|#[00027242551923, 00272425519232]|#[00272425519232]|#
req_upc_10|#[0272425519, 2724255192]|#[2724255192]|#
req_upc_11|#[00272425519, 02724255192]|#[02724255192]|#
req_upc_12|#[027242551923, 002724255192]|#[027242551923]|#
req_upc_13|#[0027242551923, 0002724255192]|#[0027242551923]|#
req_upc_14|#[00027242551923, 00002724255192]|#[00027242551923]|#
req_part_number|#[MSA32A]|#null|#
req_raw_part_number|#[MSA32A]|#null|#
Product Type|#[Flash memory card]|#[Flash memory card]|#
Designed For|#[Sony DSR-PD100A, DSR-PD150 ¦ Sony Cyber-shot DSC-F55, DSC-P150/S, DSC-T11 ¦ Sony Handycam CCD-TRV25, DCR-IP220, DCR-IP220BT, DCR-IP55, DCR-IP55E, DCR-IP7, DCR-IP7BT, DCR-IP7E, DCR-PC100E, DCR-PC101, DCR-PC101E, DCR-PC101KITB, DCR-PC105, DCR-PC105E, DCR-PC110, DCR-PC110E, DCR-PC115, DCR-PC120, DCR-PC120BT, DCR-PC120E, DCR-PC3, DCR-PC330, DCR-PC3E, DCR-PC4, DCR-PC5, DCR-PC5E, DCR-PC9, DCR-PC9E, DCR-TRV11, DCR-TRV17, DCR-TRV17E, DCR-TRV18, DCR-TRV20, DCR-TRV22E, DCR-TRV25, DCR-TRV27, DCR-TRV27E, DCR-TRV30, DCR-TRV320, DCR-TRV320E, DCR-TRV33, DCR-TRV330, DCR-TRV33E, DCR-TRV340, DCR-TRV350, DCR-TRV355, DCR-TRV355E, DCR-TRV38, DCR-TRV39, DCR-TRV510E, DCR-TRV520, DCR-TRV520E, DCR-TRV525, DCR-TRV530, DCR-TRV60, DCR-TRV60E, DCR-TRV70, DCR-TRV720, DCR-TRV720E, DCR-TRV730, DCR-TRV740, DCR-TRV80, DCR-TRV80E, DCR-TRV820, DCR-TRV820E, DCR-TRV830, DCR-TRV840, DCR-TRV900E, DCR-TRV950, DCR-TRV950E, DCR-VX2000, DCR-VX2000 Pro, DCR-VX2000E, DCR-VX2100 ¦ Sony Mavica-MVC-CD1000, MVC-FD200, MVC-FD92, MVC-FD97 ¦ Sony VAIO PCG-FRV34, PCG-FRV35, PCG-GRS515M, PCG-GRS515SP, PCG-GRS515SP/R, PCG-GRS614MK, PCG-GRS614MP, PCG-GRS615SK, PCG-GRS615SP, PCG-GRS700, PCG-GRT100, PCG-GRT1002A, PCG-GRT160, PCG-GRT170, PCG-GRT190G, PCG-GRT240G, PCG-GRT250, PCG-GRT260G, PCG-GRT270, PCG-GRT270G, PCG-GRT280ZG, PCG-GRT715E, PCG-GRT715M, PCG-GRT716S, PCG-GRT785B, PCG-GRT785E, PCG-GRT786M, PCG-GRT795MP, PCG-GRT796HP, PCG-GRT796SP, PCG-GRT816S, PCG-GRV670, PCG-GRV670P, PCG-GRV680, PCG-GRV680P, PCG-GRX316SP, PCG-GRX580, PCG-GRZ515G, PCG-GRZ530, PCG-GRZ600, PCG-GRZ610, PCG-GRZ615G, PCG-GRZ615M, PCG-GRZ615S, PCG-GRZ630, PCG-GRZ660, PCG-GT1, PCG-R505DS, PCG-R505DSK, PCG-R505DSP, PCG-R505ESK, PCG-R505GC SuperSlim Pro, PCG-R505GCK SuperSlim Pro, PCG-R505GCP SuperSlim Pro, PCG-R505GL SuperSlim Pro, PCG-R505GLK SuperSlim Pro, PCG-R505JE, PCG-R505JEK, PCG-R505JEP, PCG-R505JLK, PCG-R505JLP, PCG-R505JS, PCG-R505JSK, PCG-R505JSP, PCG-V505DC2, PCG-Z600REK, VGN-A140]|#[Sony DSR-PD100, PD150, ICD-MS515; Handycam CCD-TRV25, DCR-TRV27, TRV320, TRV33, TRV330, TRV340, TRV350, TRV355, TRV38, TRV39, TRV510, TRV520, TRV525, TRV530, TRV60, TRV70, TRV720, TRV730, TRV740, TRV80, TRV820, TRV830, TRV840, TRV900, TRV950, VX2000, VX2100; Mavica-MVC-CD1000, FD200, FD92, FD97]|#
Storage Capacity|#[32 MB]|#[32 MB]|#
Form Factor|#[Memory Stick]|#[Memory Stick]|#
UPC|#[0002724255192]|#[0027242551923]|#
WALMART_DOTCOM BASE_ITEM_ID|#[1242642]|#null|#
WALMART_DOTCOM SORT_ITEM_NAME|#[32MB memory stick]|#null|#
WALMART_DOTCOM MANUFACTURER_NAME|#[Sony]|#null|#
WALMART_DOTCOM IS_HAZARD_MATERIAL|#[N]|#null|#
WALMART_DOTCOM ITEM_SHIP_CLASS|#[0]|#null|#
WALMART_DOTCOM VENDOR_ITEM_NUM|#[MSA32A]|#null|#
WALMART_DOTCOM CHAR_PRIMARY_CATEGORY_PATH|#[UNASSIGNED/UNASSIGNED SHELF]|#null|#
WALMART_DOTCOM WALMART_CANONICAL_URL|#[/ip/Sony-32-MB-Memory-Stick/1242642]|#null|#
