S0026553,1242642
S0077167,27675517
S0113404,931958
S0366962,28687137
1192160,S0424798
S0451138,24230268
1953191,S0470597
S0472225,3312217
29945527,S0596322
8111425,S0724686
S0763331,1242632
19498335,S10052228
16672136,S10057846
S10124279,16784242
S10126055,26819535
19581008,S10201032
S10224499,20574978
S10253372,20606569
S10285924,22237689
27344444,S10306707
20627900,S10314040
S10319843,21576592
21188779,S10327140
S10341432,20974891
20976020,S10347074
S10375781,20659784
S10375782,20659774
S10376142,20449262
S10376587,20682201
19524867,S10377952
S10391441,20690263
S10413567,20627841
20746133,S10431455
20746138,S10431474
20659832,S10440395
S10454455,26965956
S10456495,17811862
16655439,S10469415
20751052,S10469498
S10469935,23136293
20746093,S10649392
30098160,S10649962
23143344,S10652558
20699123,S10662924
20452294,S10664405
S10667150,14006004
S10668404,21011540
16422767,S10668567
S10680708,23143633
20627885,S10681949
19793674,S10683263
S10685660,17196113
20905328,S10708695
21063794,S10762057
S10791078,21141718
S10796227,21009310
S10805769,21054181
23615046,S10844996
22930067,S10862149
21311547,S10893878
17489721,S10927893
21281993,S10934246
22237719,S10955274
S10969935,21291708
S10993935,24016929
17165365,S11011441
22029382,S11067137
21777562,S11119750
S11134229,27344499
S11144445,21576632
21862679,S11199630
21125307,S11200535
S11211829,21899805
S11233003,21954431
21907347,S11295529
S11310485,26138820
S11348714,22018125
21345749,S11350850
S11358735,22258171
22255997,S11377939
S11378479,20657450
23868744,S11400386
S11406092,22562393
22144376,S11406723
S11412378,21870591
S11412629,22171827
S11442951,32679489
S11650546,23316680
S11659517,23565840
27746900,S11661611
S11692782,26922104
S1171937,1841397
26464261,S11732942
S11788314,23764085
S11801204,23807939
S11805371,23808056
S11920536,24727211
S11964208,27152169
S12009761,25863492
26545611,S12036577
