id,name,addr,city,type
"310-246-1501","arniemorton'sofchicago","435s.lacienegablv.","losangeles","american"
"818-762-1221","art'sdelicatessen","12224venturablvd.","studiocity","american"
"310-472-1211","hotelbel-air","701stonecanyonrd.","belair","californian"
"818-788-3536","cafebizou","14016venturablvd.","shermanoaks","french"
"213-938-1447","campanile","624s.labreaave.","losangeles","american"
"310-392-9025","chinoisonmain","2709mainst.","santamonica","french"
"213-857-0034","citrus","6703melroseave.","losangeles","californian"
"213-848-6677","fenix","8358sunsetblvd.west","hollywood","american"
"310-456-0488","granita","23725w.maliburd.","malibu","californian"
"310-276-0615","grillonthealley","9560daytonway","losangeles","american"
"213-665-1891","restaurantkatsu","1972n.hillhurstave.","losangeles","asian"
"310-652-9770","l'orangerie","903n.lacienegablvd.","losangeles","french"
"213-655-8880","lechardonnay","8284melroseave.","losangeles","french"
"310-274-1893","locandaveneta","3rdst.","losangeles","italian"
"310-659-9639","matsuhisa","129n.lacienegablvd.","beverlyhills","asian"
"310-550-8811","thepalm","9001santamonicablvd.","losangeles","american"
"213-467-1108","patina","5955melroseave.","losangeles","californian"
"213-628-3781","philippe'stheoriginal","1001n.alamedast.","losangeles","american"
"818-990-0500","pinotbistro","12969venturablvd.","losangeles","french"
"213-627-2300","rexilristorante","617s.olivest.","losangeles","italian"
"310-652-4025","spago","1114hornave.","losangeles","californian"
"310-829-4313","valentino","3115picoblvd.","santamonica","italian"
"818-585-0855","yujeankang'sgourmetchinesecuisine","67n.raymondave.","losangeles","asian"
"212-582-7200","21club","21w.52ndst.","newyork","american"
"212-307-7311","aquavit","13w.54thst.","newyork","continental"
"212-319-1660","aureole","34e.61stst.","newyork","american"
"212-496-6031","cafelalo","201w.83rdst.","newyork","coffeebar"
"212-877-3500","cafedesartistes","1w.67thst.","newyork","continental"
"212-362-2200","carmine's","2450broadwaybetween90thand91ststs.","newyork","italian"
"212-757-2245","carnegiedeli","8547thave.between54thand55thsts.","newyork","delicatessen"
