id,name,addr,city,type
"310-246-1501","arniemorton'sofchicago","435s.lacienegablvd.","losangeles","steakhouses"
"818-762-1221","art'sdeli","12224venturablvd.","studiocity","delis"
"310-472-1211","bel-airhotel","701stonecanyonrd.","belair","californian"
"818-788-3536","cafebizou","14016venturablvd.","shermanoaks","frenchbistro"
"213-938-1447","campanile","624s.labreaave.","losangeles","californian"
"310-392-9025","chinoisonmain","2709mainst.","santamonica","pacificnewwave"
"213-857-0034","citrus","6703melroseave.","losangeles","californian"
"213-848-6677","fenixattheargyle","8358sunsetblvd.","w.hollywood","french(new)"
"310-456-0488","granita","23725w.maliburd.","malibu","californian"
"310-276-0615","grillthe","9560daytonway","beverlyhills","american(traditional)"
"213-665-1891","katsu","1972hillhurstave.","losfeliz","japanese"
"310-652-9770","l'orangerie","903n.lacienegablvd.","w.hollywood","french(classic)"
"213-655-8880","lechardonnay(losangeles)","8284melroseave.","losangeles","frenchbistro"
"310-274-1893","locandaveneta","8638w.thirdst.","losangeles","italian"
"310-659-9639","matsuhisa","129n.lacienegablvd.","beverlyhills","seafood"
"310-550-8811","palmthe(losangeles)","9001santamonicablvd.","w.hollywood","steakhouses"
"213-467-1108","patina","5955melroseave.","losangeles","californian"
"213-628-3781","philippetheoriginal","1001n.alamedast.","chinatown","cafeterias"
"818-990-0500","pinotbistro","12969venturablvd.","studiocity","frenchbistro"
"213-627-2300","rexilristorante","617s.olivest.","losangeles","nuovacucinaitalian"
"310-652-4025","spago(losangeles)","8795sunsetblvd.","w.hollywood","californian"
"310-829-4313","valentino","3115picoblvd.","santamonica","italian"
"818-585-0855","yujeankang's","67n.raymondave.","pasadena","chinese"
"212-582-7200","21club","21w.52ndst.","newyorkcity","american(new)"
"212-307-7311","aquavit","13w.54thst.","newyorkcity","scandinavian"
"212-319-1660","aureole","34e.61stst.","newyorkcity","american(new)"
"212-496-6031","cafelalo","201w.83rdst.","newyorkcity","coffeehouses"
"212-877-3500","cafedesartistes","1w.67thst.","newyorkcity","french(classic)"
"212-362-2200","carmine's","2450broadway","newyorkcity","italian"
"212-757-2245","carnegiedeli","854seventhave.","newyorkcity","delis"
"212-966-6960","chanterelle","2harrisonst.","newyorkcity","french(new)"
"212-288-0033","daniel","20e.76thst.","newyorkcity","french(new)"
"212-355-7555","dawat","210e.58thst.","newyorkcity","indian"
"212-758-1479","felidia","243e.58thst.","newyorkcity","italian"
"212-754-9494","fourseasons","99e.52ndst.","newyorkcity","american(new)"
"212-620-4020","gothambar&grill","12e.12thst.","newyorkcity","american(new)"
"212-477-0777","gramercytavern","42e.20thst.","newyorkcity","american(new)"
"212-765-1737","islandspice","402w.44thst.","newyorkcity","caribbean"
"212-223-5656","jojo","160e.64thst.","newyorkcity","frenchbistro"
"212-586-4252","lacaravelle","33w.55thst.","newyorkcity","french(classic)"
"212-688-6525","lacotebasque","60w.55thst.","newyorkcity","french(classic)"
"212-489-1515","lebernardin","155w.51stst.","newyorkcity","seafood"
"212-484-5113","lescelebrites","155w.58thst.","newyorkcity","french(classic)"
"212-339-6719","lespinasse(newyorkcity)","2e.55thst.","newyorkcity","asian"
"212-752-2225","lutece","249e.50thst.","newyorkcity","french(classic)"
"212-371-7777","manhattanoceanclub","57w.58thst.","newyorkcity","seafood"
"212-754-6272","march","405e.58thst.","newyorkcity","american(new)"
"212-807-7400","mesagrill","102fifthave.","newyorkcity","southwestern"
"212-627-8273","micocina","57janest.","newyorkcity","mexican"
"212-219-2777","montrachet","239w.broadway","newyorkcity","frenchbistro"
"212-759-5941","oceana","55e.54thst.","newyorkcity","seafood"
"212-644-1900","parkavenuecafe(newyorkcity)","100e.63rdst.","newyorkcity","american(new)"
"212-245-2214","petrossian","182w.58thst.","newyorkcity","russian"
"212-724-8585","picholine","35w.64thst.","newyorkcity","mediterranean"
"212-260-6660","pisces","95ave.a","newyorkcity","seafood"
"212-632-5000","rainbowroom","30rockefellerplaza","newyorkcity","american(new)"
"718-522-5200","rivercafe","1waterst.","brooklyn","american(new)"
"212-265-5959","sandomenico","240centralparks.","newyorkcity","italian"
"212-677-0606","secondavenuedeli","156secondave.","newyorkcity","delis"
"212-980-9393","seryna","11e.53rdst.","newyorkcity","japanese"
"212-371-8844","shunleepalace","155e.55thst.","newyorkcity","chinese"
"212-861-8080","signofthedove","1110thirdave.","newyorkcity","american(new)"
"212-753-1530","smith&wollensky","797thirdave.","newyorkcity","steakhouses"
"212-873-3200","tavernonthegreen","centralparkwest","newyorkcity","american(new)"
"212-245-7992","unclenick's","747ninthave.","newyorkcity","greek"
"212-243-4020","unionsquarecafe","21e.16thst.","newyorkcity","american(new)"
"212-921-9494","virgil'srealbbq","152w.44thst.","newyorkcity","bbq"
"702-733-8899","chin's","3200lasvegasblvd.s.","lasvegas","chinese"
"702-891-7349","coyotecafe(lasvegas)","3799lasvegasblvd.s.","lasvegas","southwestern"
"702-732-5651","lemontrachetbistro","3000paradiserd.","lasvegas","frenchbistro"
"702-731-7110","palacecourt","3570lasvegasblvd.s.","lasvegas","french(new)"
"702-385-6277","secondstreetgrill","200e.fremontst.","lasvegas","pacificrim"
"702-734-0410","steakhousethe","2880lasvegasblvd.s.","lasvegas","steakhouses"
"702-731-4036","tillermanthe","2245e.flamingord.","lasvegas","steakhouses"
"404-261-8186","abruzzi","2355peachtreerd.ne","atlanta","italian"
"404-365-0410","bacchanalia","3125piedmontrd.","atlanta","californian"
"404-237-2663","bone'srestaurant","3130piedmontrd.ne","atlanta","steakhouses"
"404-266-1440","brasserielecoze","3393peachtreerd.","atlanta","frenchbistro"
"404-262-3336","buckheaddiner","3073piedmontrd.","atlanta","american(new)"
"404-874-7600","cibouletterestaurant","1529piedmontave.","atlanta","french(new)"
"404-681-2909","delectables","1margaretmitchellsq.","atlanta","cafeterias"
"404-352-3517","georgiagrille","2290peachtreerd.","atlanta","southwestern"
