@RELATION Restaurant

@ATTRIBUTE name_cosine NUMERIC 
@ATTRIBUTE name_jaccard NUMERIC 
@ATTRIBUTE name_jaro NUMERIC 
@ATTRIBUTE name_jaro_winkler NUMERIC 
@ATTRIBUTE name_lev NUMERIC 
@ATTRIBUTE name_mongeelkan NUMERIC 
@ATTRIBUTE name_qg NUMERIC 
@ATTRIBUTE name_smith_waterman NUMERIC 
@ATTRIBUTE name_exact NUMERIC 
@ATTRIBUTE addr_cosine NUMERIC 
@ATTRIBUTE addr_jaccard NUMERIC 
@ATTRIBUTE addr_jaro NUMERIC 
@ATTRIBUTE addr_jaro_winkler NUMERIC 
@ATTRIBUTE addr_lev NUMERIC 
@ATTRIBUTE addr_mongeelkan NUMERIC 
@ATTRIBUTE addr_qg NUMERIC 
@ATTRIBUTE addr_smith_waterman NUMERIC 
@ATTRIBUTE addr_exact NUMERIC 
@ATTRIBUTE type_cosine NUMERIC 
@ATTRIBUTE type_jaccard NUMERIC 
@ATTRIBUTE type_jaro NUMERIC 
@ATTRIBUTE type_jaro_winkler NUMERIC 
@ATTRIBUTE type_lev NUMERIC 
@ATTRIBUTE type_mongeelkan NUMERIC 
@ATTRIBUTE type_qg NUMERIC 
@ATTRIBUTE type_smith_waterman NUMERIC 
@ATTRIBUTE type_exact NUMERIC 
@ATTRIBUTE city_cosine NUMERIC 
@ATTRIBUTE city_jaccard NUMERIC 
@ATTRIBUTE city_jaro NUMERIC 
@ATTRIBUTE city_jaro_winkler NUMERIC 
@ATTRIBUTE city_lev NUMERIC 
@ATTRIBUTE city_mongeelkan NUMERIC 
@ATTRIBUTE city_qg NUMERIC 
@ATTRIBUTE city_smith_waterman NUMERIC 
@ATTRIBUTE city_exact NUMERIC 
@ATTRIBUTE class { match, mismatch }

@DATA
1,1,1,1,1,1,1,1,1,0.612,0.375,0.775,0.91,0.326,1,0.462,1,0,0.707,0.5,0.821,0.928,0.462,0.633,0.522,1,0,0.816,0.667,0.872,0.949,0.615,0.75,0.64,1,0,match
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.537,0.537,0.154,0.267,0,0.2,0,0.816,0.667,0.872,0.949,0.615,0.75,0.64,1,0,match
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.707,0.5,0.857,0.943,0.571,0.66,0.615,1,0,0.816,0.667,0.872,0.949,0.615,0.75,0.64,1,0,match
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.54,0.54,0,0.267,0,0.267,0,0.816,0.667,0.872,0.949,0.615,0.75,0.64,1,0,match
1,1,1,1,1,1,1,1,1,0.707,0.5,0.817,0.927,0.45,1,0.545,1,0,1,1,1,1,1,1,1,1,1,0.816,0.667,0.872,0.949,0.615,0.75,0.64,1,0,match
1,1,1,1,1,1,1,1,1,0.75,0.6,0.982,0.993,0.947,1,0.878,1,0,1,1,1,1,1,1,1,1,1,0.816,0.667,0.872,0.949,0.615,0.75,0.64,1,0,match
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.707,0.5,0.833,0.933,0.5,0.6,0.545,1,0,0.816,0.667,0.872,0.949,0.615,0.75,0.64,1,0,match
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.626,0.626,0.417,0.527,0,0.527,0,0.816,0.667,0.872,0.949,0.615,0.75,0.64,1,0,match
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.707,0.5,0.857,0.943,0.571,0.66,0.615,1,0,0.816,0.667,0.872,0.949,0.615,0.75,0.64,1,0,match
0.5,0.25,0.795,0.918,0.385,0.438,0.5,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0.1,0.5,0.4,0.353,0.4,0,0.816,0.667,0.872,0.949,0.615,0.75,0.64,1,0,match
