@RELATION Restaurant

@ATTRIBUTE name_mongeelkan NUMERIC 
@ATTRIBUTE name_jaro_winkler NUMERIC 
@ATTRIBUTE name_smith_waterman NUMERIC 
@ATTRIBUTE addr_smith_waterman NUMERIC 
@ATTRIBUTE addr_mongeelkan NUMERIC 
@ATTRIBUTE addr_jaro_winkler NUMERIC 
@ATTRIBUTE type_jaro NUMERIC 
@ATTRIBUTE type_jaro_winkler NUMERIC 
@ATTRIBUTE type_smith_waterman NUMERIC 
@ATTRIBUTE city_jaro NUMERIC 
@ATTRIBUTE city_jaro_winkler NUMERIC 
@ATTRIBUTE city_smith_waterman NUMERIC 
@ATTRIBUTE class { match, mismatch }

@DATA
1,1,1,1,1,0.91,0.821,0.928,1,0.872,0.949,1,match
1,1,1,1,1,1,0.537,0.537,0.2,0.872,0.949,1,match
1,1,1,1,1,1,0.857,0.943,1,0.872,0.949,1,match
1,1,1,1,1,1,0.54,0.54,0.267,0.872,0.949,1,match
1,1,1,1,1,0.927,1,1,1,0.872,0.949,1,match
1,1,1,1,1,0.993,1,1,1,0.872,0.949,1,match
1,1,1,1,1,1,0.833,0.933,1,0.872,0.949,1,match
1,1,1,1,1,1,0.626,0.626,0.527,0.872,0.949,1,match
1,1,1,1,1,1,0.857,0.943,1,0.872,0.949,1,match
0.438,0.918,1,1,1,1,0,0.1,0.4,0.872,0.949,1,match
1,1,1,1,1,1,0.7,0.7,0.6,0.872,0.949,1,match
1,1,1,1,1,0.909,1,1,1,0.872,0.949,1,match
1,1,1,1,1,1,1,1,1,0.872,0.949,1,match
0.844,0.925,0.692,0.629,0.646,0.727,0.562,0.562,0.44,0.872,0.949,1,match
1,1,1,1,1,0.906,0.857,0.943,1,0.872,0.949,1,match
1,1,1,0.133,0.396,0.57,0.792,0.917,1,0.872,0.949,1,match
1,1,1,1,1,1,0.373,0.373,0.167,0.872,0.949,1,match
1,1,1,1,1,1,0.7,0.88,0.6,0.872,0.949,1,match
1,1,1,1,1,1,0.857,0.943,1,0.872,0.949,1,match
1,1,1,1,1,1,0.792,0.917,1,0.872,0.949,1,match
1,1,1,1,1,1,0.857,0.943,1,0.872,0.949,1,match
1,1,1,1,1,0.921,1,1,1,0.872,0.949,1,match
1,1,1,1,1,1,0.446,0.446,0.571,0.872,0.949,1,match
0.742,0.933,1,1,1,1,0.857,0.943,1,0.872,0.949,1,match
1,1,1,0.6,0.889,0.784,0.711,0.827,0.8,0.872,0.949,1,match
1,1,1,1,1,0.913,0.792,0.917,1,0.872,0.949,1,match
1,1,1,1,1,1,1,1,1,0.872,0.949,1,match
1,1,1,1,1,1,0.792,0.917,1,0.872,0.949,1,match
1,1,1,0.143,0.611,0,0.311,0.311,0.125,0.872,0.949,1,match
1,1,1,1,1,1,0.857,0.943,1,0.872,0.949,1,match
1,0.936,1,1,1,1,0.857,0.943,1,0.872,0.949,1,match
1,1,1,0.55,0.911,0.766,0.711,0.827,0.8,0.872,0.949,1,match
1,1,1,1,1,1,1,1,1,0.872,0.949,1,match
1,1,1,1,1,1,1,1,1,0.872,0.949,1,match
1,1,1,1,1,1,0.897,0.897,1,0.872,0.949,1,match
1,1,1,0.657,0.889,0.812,0.472,0.472,0.25,0.872,0.949,1,match
1,1,1,0.68,0.889,0.88,0.857,0.943,1,0.872,0.949,1,match
1,1,1,0.765,0.889,0,0.857,0.943,1,0.872,0.949,1,match
1,1,1,1,1,1,0.456,0.456,0.182,0.872,0.949,1,match
0.567,0.925,1,1,1,1,0,0,0,0.872,0.949,1,match
1,1,1,1,1,0.927,0.444,0.444,0.2,0.872,0.949,1,match
1,1,1,1,1,1,0.658,0.658,0.44,0.872,0.949,1,match
1,1,1,1,1,1,1,1,1,1,1,1,match
1,1,1,1,1,1,0,0,1,1,1,1,match
1,0.994,0.952,1,1,1,0,0,0.375,0,0,0.178,match
0.95,0.931,1,1,1,1,0.821,0.928,1,1,1,1,match
1,0,1,0.926,1,0.942,0.658,0.658,0.44,0.737,0.842,0.533,match
0.458,0.877,1,1,1,0.97,0.444,0.444,0.2,0.917,0.917,1,match
1,1,1,1,1,1,1,1,1,1,1,1,match
1,1,1,1,1,1,0,0,0.325,1,1,1,match
1,1,1,0.955,0.95,0.994,0.311,0.311,0.125,1,1,1,match
1,1,1,0.857,0.625,0.519,1,1,1,1,1,1,match
1,0.941,0.88,1,1,1,0.788,0.915,1,0,0,0.182,match
1,1,1,1,1,1,0,0,0.167,1,1,1,match
1,1,1,1,1,1,1,1,1,1,1,1,match
1,0.679,0.538,1,1,1,1,1,1,1,1,1,match
0.663,0.481,0.5,1,1,1,0.311,0.311,0.125,0.482,0.482,0.145,match
0.523,0.877,1,0.1,0.2,0.538,1,1,1,0.482,0.482,0.145,match
1,1,1,1,1,1,0.792,0.917,1,0.482,0.482,0.145,match
1,1,1,1,1,1,0.395,0.395,0.52,1,1,1,match
1,1,1,1,1,1,1,1,1,1,1,1,match
1,1,1,1,1,0.938,1,1,1,1,1,1,match
1,1,1,0.905,0.95,0.917,1,1,1,1,1,1,match
0.917,0.974,1,1,0.917,0.984,0.726,0.726,0.4,1,1,1,match
0.7,0.885,1,0.833,0.733,0.959,0.311,0.311,0.125,1,1,1,match
1,0.837,0.693,1,0.875,0.981,0.456,0.456,0.171,1,1,1,match
